Blog	book	way	company	build	latest	episode	go	deep	into	talking	process	find	most	real	life	keep	reading	recently	someone	here	know	your	team	wrote	day	questions	asked	part	our	something	happened	me	entire	earlier	month	released	stop	running	work	getting	product	goes	small	great	do	being	than	might	if	want	there	no	been	made	even	human	may	around	five	open	support	well	every	single	read	am	my	won	tell	anyone	think	were	bad	m	g	would	among	them	re	sure	six	phone	put	out	call	twitter	he	order	all	hour	back	down	since	including	job	few	people	over	pay	less	now	self	successful	web	app	first	business	us	away	take	some	america	said	different	john	isn	same	thing	d	like	co	july	also	so	please	don	did	times	get	their	york	debate	important	who	never	while	trump	will	because	could	had	person	just	doing	morning	after	post	happy	moment	american	quite	perhaps	really	time	possible	everything	good	things	started	better	until	rather	years	though	does	amazon	love	much	give	off	page	last	through	site	still	his	ideas	system	aren	able	kind	according	yet	again	full	technology	these	going	actually	later	hard	feel	too	only	world	end	car	many	must	stuff	got	used	fact	ever	during	national	security	u	president	says	case	let	took	went	general	best	bit	money	past	its	science	room	whether	making	another	any	health	nice	side	care	industry	other	public	maybe	third	set	businesses	anything	power	along	then	need	long	enough	make	start	ll	pretty	mean	taking	others	nothing	stay	home	change	always	internet	should	media	why	ve	months	today	finally	least	building	friend	continue	myself	comes	nearly	seven	year	see	data	help	ask	right	say	two	under	second	where	found	group	watch	facebook	mind	man	ago	question	fix	tech	version	series	week	thanks	helping	friends	own	write	writing	posts	usually	original	those	cool	ten	list	price	high	easy	appeared	next	online	him	short	drive	share	favorite	try	use	official	cost	days	left	once	often	service	especially	else	photos	san	art	higher	looks	four	career	social	summer	experience	nbsp	doesn	matter	early	place	example	growing	thinking	true	probably	google	working	called	live	future	news	number	services	together	show	blog	idea	top	link	using	b	each	which	both	based	look	via	very	free	create	added	watching	fun	name	smart	living	feature	search	results	several	run	links	come	hand	simple	already	photo	hit	game	lost	seem	makes	design	street	view	content	tools	traffic	needs	old	play	tool	within	users	little	against	coming	brand	email	features	story	green	companies	far	report	talk	lot	water	large	video	shows	apple	line	almost	pro	point	amp	age	big	kids	movie	th	her	city	youtube	young	woman	known	she	remember	course	done	before	project	update	deal	seen	million	following	personal	ways	half	tv	night	family	network	turn	local	without	com	check	looking	key	music	bring	available	learn	event	couple	playing	itself	space	weeks	didn	places	problem	community	wanted	whole	learned	sense	face	trying	state	level	school	led	yes	thought	clear	program	takes	understand	become	helped	lives	couldn	wasn	between	everyone	light	means	such	cover	three	stories	party	spend	camera	hope	having	cnn	donald	house	article	minutes
The Official Google Blog	0	22	2	9	5	0	25	1	9	1	1	26	9	2	6	10	2	4	1	11	12	160	6	0	10	6	5	17	56	9	0	19	2	1	7	0	2	6	18	1	4	1	5	5	16	4	10	1	38	6	14	9	18	6	15	1	10	14	3	10	14	6	8	0	9	1	52	4	3	1	7	7	0	6	4	10	0	17	46	3	3	21	4	28	6	1	9	1	30	0	5	5	3	2	3	11	40	10	0	1	17	1	0	1	46	15	8	15	2	9	9	0	4	7	0	5	3	3	9	34	0	1	19	31	0	6	4	3	29	39	6	0	6	18	3	20	0	34	7	14	19	4	24	3	0	3	3	1	1	5	0	0	4	17	4	2	1	14	7	14	1	1	11	2	2	3	6	5	6	4	1	4	27	0	6	5	5	4	1	8	1	0	3	3	4	12	19	0	2	2	2	4	8	6	18	2	6	11	1	0	4	7	0	3	10	6	15	3	1	9	2	4	1	1	2	15	1	1	5	2	15	2	4	5	2	6	3	0	1	3	1	16	2	0	3	7	7	1	2	1	7	10	5	1	30	7	19	0	0	6	5	2	3	22	2	6	5	4	4	3	17	6	19	0	0	8	2	3	2	2	4	1	15	14	13	49	11	14	6	9	1	3	12	5	2	4	1	2	0	2	2	3	10	1	5	1	2	5	5	8	0	0	0	1	1	6	1	1	5	0	10	6	0	15	2	2	0	4	5	19	3	17	0	2	2	4	2	5	5	2	0	20	2	5	2	1	2	4	1	12	13	0	2	1	6	3	2	4	1	0	0	131	9	3	1	2	5	1	8	3	6	1	4	4	0	19	0	1	8	7	5	11	1	5	6	4	2	2	3	1	5	9	6	8	2	1	4	0	11	5	5	3	4	2	2	4	2	3	3	2	7	9	7	2	2	2	17	0	3	16	6	1	4	0	0	13	1	0	4	4	1	3	4	3	1	11	7	0	0	3	0	1	5	2	5	4	3	3	26	11	13	1	0	1	33	2	2	6	9	10	4	1	3	7	1	3	11	0	14	2	4	8	8	10	9	2	6	4	6	24	3	16	10	6	2	7	1	10	1	9	4	6	11	6	3	8	6	11	3	2	2	8	9	2	2	3	8	1	5	2	2	2	1	2	4	5	3	2	6	1	5	3	2	1	2	1	2	0	0	0	0	0
Google Operating System	0	1	0	0	2	0	7	0	3	0	0	1	3	1	2	1	0	2	0	7	4	20	1	0	3	1	0	0	2	2	0	1	1	0	1	0	1	1	0	0	2	0	0	1	1	0	5	0	11	3	7	6	2	0	4	0	1	2	0	4	2	2	1	0	1	0	3	1	0	0	0	0	0	3	0	0	0	3	3	1	0	0	0	7	0	0	0	0	3	0	4	5	2	4	0	1	2	1	0	0	16	0	0	3	9	5	0	0	0	1	6	0	0	9	0	0	3	0	1	17	0	0	9	6	0	3	3	0	15	3	0	0	2	1	2	5	0	13	2	0	2	0	4	0	0	2	1	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	0	1	0	0	0	2	0	2	10	1	0	4	5	0	0	5	2	2	0	2	0	2	2	1	3	1	1	1	0	1	0	10	2	1	0	4	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	2	0	4	3	0	0	0	1	0	9	1	0	0	1	0	0	1	0	3	2	5	0	2	1	7	2	0	1	1	0	1	6	3	1	1	1	0	1	5	0	1	0	0	0	0	0	0	1	0	1	2	4	1	1	1	1	0	0	0	0	1	4	0	0	0	1	2	0	3	0	0	3	0	0	0	1	0	2	0	0	0	0	1	3	1	0	7	0	4	1	0	5	0	0	0	1	3	2	3	7	0	0	0	2	0	1	0	0	0	6	0	0	0	3	0	0	0	0	0	11	2	0	1	3	7	1	0	0	1	108	0	4	2	0	1	0	0	0	2	2	0	1	2	5	4	4	12	2	1	3	2	2	1	0	2	0	0	2	3	2	11	53	9	0	0	1	0	0	0	1	2	0	2	0	2	2	1	1	1	2	5	0	1	4	4	1	1	3	1	1	0	0	1	4	0	0	0	0	0	0	1	1	0	3	18	0	1	0	0	3	0	0	0	0	2	1	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	3	5	2	0	2	1	0	0	0	1	3	0	0	0	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	1	2	0	0	0	0	4	2	2	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0
Creating Passionate Users	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	4	0	0	1	2	0	0	1	2	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	1	0	0	2	0	1	0	4	0	0	1	0	0	1	3	0	0	2	1	0	1	0	0	0	0	2	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0
Instapundit	2	2	0	0	0	0	1	3	2	0	0	0	2	0	0	4	0	1	0	2	10	0	0	0	5	0	0	0	2	0	0	0	0	1	0	2	2	0	0	0	0	2	0	1	1	0	9	1	3	6	7	7	4	0	4	1	4	2	0	2	0	6	2	1	1	0	4	0	2	0	1	0	0	4	2	2	0	0	5	0	1	0	0	1	1	0	3	0	7	2	3	6	0	0	1	0	5	1	0	6	11	0	0	0	0	1	0	7	1	6	3	3	2	0	2	2	0	1	4	8	1	3	3	2	0	10	0	4	2	6	2	12	0	6	6	3	16	5	3	0	2	0	11	0	2	3	0	2	0	1	0	0	1	2	0	6	0	2	0	1	1	1	4	0	1	9	0	2	0	3	0	2	1	0	0	3	2	0	0	0	2	0	0	1	1	0	5	4	1	0	0	0	5	9	5	2	2	0	5	0	0	0	2	0	4	1	0	4	2	2	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	2	3	4	0	1	0	4	3	1	0	0	0	0	1	0	0	2	0	0	2	2	3	0	0	0	0	6	0	3	4	0	0	2	5	5	4	2	2	2	2	0	0	0	0	0	0	0	3	4	1	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	2	1	5	2	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	2	0	2	0	0	3	0	0	0	1	0	0	2	0	0	5	3	0	0	0	2	0	0	0	2	2	0	0	0	1	3	0	2	0	0	1	0	2	1	0	2	0	2	0	0	2	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	3	0	2	0	0	4	0	0	1	0	0	0	0	0	2	0	4	2	0	0	0	2	0	0	1	0	0	4	0	0	0	0	0	2	5	2	0	2	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	1	0	2	0	0	0	1	2	0	0	0	0	3	2	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	2	0	4	2	0	0	0
Joi Ito's Web	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	2	4	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2	1	0	0	0	0	3	0	0	1	0	0	0	1	1	2	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Mashable	0	4	4	1	1	0	5	1	5	0	4	4	7	2	6	2	0	0	2	3	5	30	1	0	6	0	0	1	5	0	0	2	0	0	28	0	1	3	5	2	0	2	1	2	6	4	12	2	17	9	8	9	7	5	5	1	4	6	2	1	0	2	2	1	32	1	6	2	0	0	3	2	0	3	9	4	0	3	15	3	5	3	1	17	0	10	1	1	9	2	10	5	1	0	3	4	5	4	2	4	5	0	0	2	2	6	0	2	2	7	5	0	1	1	0	2	1	3	4	9	3	8	6	15	0	0	3	1	6	14	1	0	0	10	1	7	5	15	2	3	4	0	16	1	1	8	4	1	0	5	1	0	6	9	1	2	7	3	0	4	3	1	6	4	1	37	10	4	3	44	1	6	4	4	2	3	0	0	3	0	2	0	0	1	8	7	5	3	1	0	3	2	2	5	2	2	3	4	1	1	3	0	1	3	4	0	0	1	1	1	0	3	2	2	0	43	2	1	1	12	1	0	2	2	3	4	0	2	0	0	0	0	0	2	1	0	0	2	8	1	2	3	1	4	6	4	5	1	1	1	1	0	1	8	1	2	0	0	1	1	7	16	2	1	2	0	0	2	0	0	1	0	8	42	0	3	0	5	2	6	4	0	2	1	1	3	1	1	2	3	0	0	12	0	1	9	3	0	0	5	0	0	0	0	1	1	2	1	4	15	2	0	1	4	5	1	1	5	0	0	1	5	1	2	1	4	2	0	1	1	0	4	0	0	1	2	2	1	3	6	3	0	3	1	3	2	0	0	1	0	2	7	1	0	1	4	1	0	0	2	0	2	1	3	0	0	0	0	6	4	2	2	2	1	11	0	1	0	2	1	0	0	4	0	0	0	0	0	2	2	0	3	7	5	2	0	0	1	4	3	0	0	2	0	1	7	0	0	1	0	2	2	0	3	1	3	4	0	2	1	0	0	5	2	0	8	1	8	1	4	4	1	0	0	4	0	1	4	1	1	1	0	1	2	6	1	0	0	2	0	1	1	1	0	0	4	0	0	6	2	1	0	1	0	1	4	2	1	0	1	1	1	0	0	1	3	0	2	3	2	0	0	0	0	1	0	2	4	1	2	2	12	4	1	0	0	0	0	0	1	0	2	0	2	0	4	2	0	1	0	11	0	0	0	4	0	1	0	2	2	0	0
MichelleMalkin.com	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	2	1	0	0	5	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	1	4	0	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0	3	1	0	2	2	0	2	0	0	0	1	0	0	0	3	0	0	0	3	1	0	0	0	2	0	6	1	1	1	6	0	0	0	0	0	0	0	2	0	4	0	0	0	2	1	0	2	1	0	0	0	2	0	2	3	3	0	1	2	0	3	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	3	0	1	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Viral Garden	0	27	13	5	2	0	14	0	9	4	1	9	23	3	2	3	8	6	14	25	22	70	5	7	17	5	1	7	7	9	4	57	1	1	1	1	2	0	17	6	2	2	5	13	40	21	10	5	61	34	37	19	11	8	19	1	12	7	0	2	2	12	10	1	10	25	68	11	11	3	32	36	3	18	0	31	3	50	4	11	0	0	4	27	1	61	17	1	34	4	20	2	3	1	1	26	68	15	3	5	19	4	2	1	0	23	12	16	3	7	17	2	13	3	1	6	16	17	5	27	0	1	10	62	3	15	13	1	21	72	2	0	4	16	10	8	0	47	38	8	40	6	21	13	0	8	43	1	0	0	1	0	10	26	1	0	17	6	14	10	0	1	6	5	5	0	2	6	6	5	7	12	4	12	14	8	6	0	10	2	0	2	1	3	3	0	25	10	11	5	0	2	6	16	4	5	0	25	3	3	10	1	5	3	5	0	0	0	0	0	8	8	10	7	2	7	8	3	2	11	1	1	1	4	9	8	0	2	1	1	5	19	0	4	1	0	6	1	5	4	23	8	8	5	20	4	17	3	8	4	9	2	2	0	3	6	0	16	123	21	20	7	4	2	5	4	4	1	5	2	0	4	19	22	0	10	3	7	6	8	1	3	18	10	4	0	14	0	1	5	0	0	0	1	9	5	2	2	12	24	9	5	9	5	1	12	5	2	12	2	1	2	0	9	8	3	1	1	8	2	4	20	1	2	10	10	3	9	5	1	8	0	3	0	3	1	5	1	135	2	1	14	2	2	3	3	4	0	4	1	12	0	1	5	3	1	1	5	2	5	5	48	18	4	20	30	2	5	19	6	0	2	8	23	6	10	1	0	2	10	2	0	0	3	5	9	0	9	8	1	2	2	0	2	1	0	2	4	0	0	5	15	7	9	6	2	2	6	3	10	3	0	11	1	3	0	2	0	30	1	0	1	14	0	3	0	2	1	3	2	0	6	3	7	12	0	0	9	5	0	0	0	0	1	2	3	3	3	11	4	2	1	3	0	23	6	6	3	1	3	0	4	2	0	2	22	7	10	5	6	2	0	8	28	6	0	7	6	4	14	0	6	11	12	1	5	4	0	7	1	4	1	0	1	11	0	0	1	13	10	2	0	5	8	2	10	0	5	8	4	3	3	0	2	0	2	2	0	0	0	2	1
NB Blog Feed	0	1	0	0	2	2	4	0	4	0	0	0	4	1	2	0	0	1	3	3	1	2	4	1	2	0	1	3	6	0	1	4	1	0	0	1	1	3	1	2	0	2	0	0	5	8	5	1	1	3	4	7	7	3	3	1	1	0	1	0	0	0	1	0	3	0	3	1	1	1	1	6	2	1	0	4	2	1	4	0	0	0	1	15	2	9	10	1	10	4	0	5	1	3	1	1	7	12	5	0	0	0	1	1	0	11	0	3	1	1	10	5	0	1	3	0	0	1	1	8	2	6	1	3	0	4	5	7	0	8	3	14	0	12	2	4	40	1	3	5	4	0	9	0	6	9	17	0	1	6	0	1	3	4	0	2	0	0	0	1	2	1	3	0	2	0	1	4	0	1	3	4	2	3	4	22	2	0	0	1	1	2	4	1	1	0	1	0	1	1	0	1	1	2	2	0	0	1	1	0	2	2	7	2	5	9	1	6	23	1	0	2	4	1	0	0	0	0	4	3	0	0	0	2	7	3	4	1	0	3	0	2	2	0	0	3	1	0	2	0	2	2	2	0	2	0	0	0	1	1	1	2	0	1	2	0	0	3	10	3	1	0	2	0	0	0	0	0	0	1	1	0	2	0	1	2	1	0	0	6	3	9	2	0	0	1	8	0	1	0	2	0	1	1	2	2	0	1	0	4	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	4	0	0	0	0	0	3	0	2	1	7	0	1	1	1	0	1	0	0	1	0	0	2	1	2	1	42	3	0	0	1	0	0	0	1	0	0	0	3	5	1	7	0	0	1	13	0	2	1	0	3	0	0	7	1	0	2	1	4	5	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	2	3	3	1	0	0	0	6	0	1	5	2	0	0	0	0	1	1	0	0	0	3	0	0	0	2	0	0	0	15	3	0	0	0	0	3	1	2	3	6	0	0	0	0	0	3	1	1	0	4	17	1	5	1	0	2	1	5	0	1	0	1	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	2	1	2	0	0	2	0	0	2	2	0	0	0	1	0	3	0	1	0	0	0	1	0	3	1	2	0	0	1	2	38	5	1	0	0
PaulStamatiou.com - Technology, Design and Photography	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	4	2	0	0	2	0	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	16	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	16	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0
Power LinePower Line	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
O'Reilly Radar	0	1	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	3	0	0	0	0	7	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
